"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","Redspider_harvest1_5","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_gravity","DM_nirs","DM_raw","height_1st_branch","yield_ha","shoot_weight_plot","root_weight_plot","frogskin1_5","HCN_linamarase_10mon","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","mites_3mon","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","cook_time_10mon","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1036_20",1,20,1,20,"test"," (Operator: lizbethpino, Time: )","BRA1036","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,10.49,3,0.53,0.39,NA,NA,37.62,NA,NA,NA,NA,NA,4,56.29,3,2,NA,NA,NA,5,5,NA,NA,2,NA,2,NA,3,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1081_211",1,211,11,1,"test"," (Operator: lizbethpino, Time: )","BRA1081","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,5,5,NA,NA,2,NA,3,NA,5,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,2,80,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA108_223",1,223,11,13,"test"," (Operator: lizbethpino, Time: )","BRA108","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,-1.23,3,0.19,-0.03,NA,NA,41.53,NA,NA,NA,NA,NA,1,151.06,2,1,NA,NA,NA,5,5,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,3,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1092_369",1,369,18,10,"test"," (Operator: lizbethpino, Time: )","BRA1092","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,8.88,1,1.23,0.66,NA,NA,37.67,NA,NA,NA,NA,NA,1,167.83,3,1,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,2,80,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1132_37",1,37,2,6,"test"," (Operator: lizbethpino, Time: )","BRA1132","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,17.55,2,0.47,0.25,NA,NA,43.01,NA,NA,NA,NA,NA,1,54.2,4,1,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1167_251",1,251,12,2,"test"," (Operator: lizbethpino, Time: )","BRA1167","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,10.65,1,0.42,0.35,NA,NA,39.74,NA,NA,NA,NA,NA,4,26.6,2,1,NA,NA,NA,5,5,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1169_229",1,229,11,19,"test"," (Operator: lizbethpino, Time: )","BRA1169","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,8.65,4,0.89,0.69,NA,NA,43.38,NA,NA,NA,NA,NA,1,71.02,2,1,NA,NA,NA,5,5,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1172_73",1,73,4,12,"test"," (Operator: lizbethpino, Time: )","BRA1172","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,14.38,2,0.98,0.42,NA,NA,38.71,NA,NA,NA,NA,NA,1,149.88,3,2,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA117_361",1,361,18,18,"test"," (Operator: lizbethpino, Time: )","BRA117","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,14.63,1,0.99,0.59,NA,NA,41.44,NA,NA,NA,NA,NA,1,46.93,2,1,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1177_297",1,297,15,3,"test"," (Operator: lizbethpino, Time: )","BRA1177","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,14.09,1,1.32,0.86,NA,NA,43.02,NA,NA,NA,NA,NA,1,85.73,3,1,NA,NA,NA,5,3,NA,NA,2,NA,3,NA,2,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
